slide,OB,CB,FB,GC,HN,VR
2021-12-02 12.31.21,34198,0,324,0,2,0
2021-12-02 12.53.55,619912,4401,0,0,17156,105714
2021-12-02 13.08.12,143516,0,0,0,0,47770
2021-12-02 13.15.09,171997,0,0,0,3490,341004
2021-12-02 13.21.06,7616,0,0,0,24198,141916
2021-12-02 13.29.32,76726,0,0,0,0,1152
2021-12-02 13.33.48,107864,1,0,0,0,175963
2021-12-02 13.41.11,221519,0,0,0,56227,250169
2021-12-02 13.47.24,4153,1412,0,0,0,30159
2021-12-02 13.54.17,3526,0,0,0,0,214823
2021-12-02 14.04.11,22099,0,0,0,415069,86961
2021-12-02 14.10.08,0,0,0,0,0,862989
2021-12-02 14.21.23,486,0,0,0,0,11526
2021-12-02 14.25.16,11434,0,0,0,0,127066
2021-12-02 14.28.24,191857,0,0,0,116827,89963
2021-12-02 14.35.04,35637,0,0,0,61137,223100
2021-12-02 14.40.03,55060,0,0,0,52921,150621
2021-12-02 14.49.42,7972,0,0,0,488029,61029
2021-12-02 14.56.31,1619711,0,0,0,205169,393559
2021-12-02 15.05.06,100874,113770,0,0,345030,8641
2021-12-02 15.12.59,686825,294380,0,0,50699,3775
2021-12-02 15.18.25,67033,18155,0,0,49095,0
2021-12-02 15.21.50,548944,63370,14742,0,4590,17295
2021-12-02 15.25.36,3019241,2120,0,0,101747,170735
2021-12-02 15.42.33,1648643,969,972,0,6295,6331
2021-12-02 15.56.29,150570,187248,0,0,162574,202460
2021-12-02 16.01.42,912358,342,0,0,23907,13003
2021-12-02 16.07.16,4660,0,0,0,5660,0
2021-12-02 16.12.43,1202465,31991,0,0,120852,66347
2021-12-02 16.21.22,378028,9916,0,0,11441,0
2021-12-02 16.26.15,336686,0,0,0,1215,16406
2021-12-02 16.29.40,465457,0,0,0,10370,372446
2021-12-02 16.36.51,272240,0,0,0,7478,583
2021-12-02 16.43.00,79208,0,0,0,2960,0
2021-12-02 16.45.15,237340,0,0,0,5079,644
2021-12-03 10.22.14,12773,0,1153,0,1314,3447
2021-12-03 10.32.44,1880753,11325,0,0,15936,7146
2021-12-03 11.04.25,889710,324,0,0,86809,7857
2021-12-03 11.11.57,886079,0,0,0,38371,26189
2021-12-03 11.17.51,1806888,1539,0,0,286135,31792
2021-12-03 11.27.29,714860,46335,0,0,90045,0
2021-12-03 11.33.01,489872,2809,0,0,283964,54342
2021-12-03 11.38.51,795058,0,0,0,578648,79143
2021-12-03 11.47.12,8210,3,851,0,1209456,102436
2021-12-03 11.54.47,33109,0,0,0,841604,19190
2021-12-03 12.01.45,870239,4754,0,0,32499,2705
2021-12-03 12.07.18,1138088,334,324,0,810,3527
2021-12-03 12.15.22,1745648,3232,1995,0,16320,495482
2021-12-03 12.32.02,2093025,32636,304,0,33731,234
2021-12-03 12.42.53,1184347,3079,588,0,1665,0
2021-12-03 12.50.21,2402548,19337,0,0,766339,916435
2021-12-03 13.05.25,1656112,666,0,0,652726,537441
2021-12-03 13.14.28,2928867,2438,0,0,1334760,326
2021-12-03 13.28.24,3222831,0,678,0,238086,0
2021-12-03 13.42.27,140514,0,0,0,55797,18183
2021-12-03 13.49.52,315652,1249,0,0,278723,157633
2021-12-03 13.59.12,993664,1043,0,0,9548,128779
2021-12-03 14.05.27,1030426,342,42190,0,3332,0
